id,пол,город,relation
4788,пол женский,Санкт-Петербург,данные извлечь невозможно
4815,пол женский,город не указан,данные извлечь невозможно
4818,пол мужской,Санкт-Петербург,данные извлечь невозможно
4837,пол женский,Санкт-Петербург,данные извлечь невозможно
4862,пол мужской,Санкт-Петербург,данные извлечь невозможно
4873,пол женский,Санкт-Петербург,данные извлечь невозможно
4916,пол мужской,Винница,данные извлечь невозможно
4929,пол мужской,город не указан,данные извлечь невозможно
4930,пол мужской,Москва,данные извлечь невозможно
4934,пол женский,Санкт-Петербург,данные извлечь невозможно
4942,пол мужской,Санкт-Петербург,данные извлечь невозможно
4947,пол мужской,Санкт-Петербург,данные извлечь невозможно
4959,пол женский,город не указан,данные извлечь невозможно
4969,пол мужской,Санкт-Петербург,данные извлечь невозможно
4973,пол мужской,Москва,данные извлечь невозможно
4984,пол мужской,Москва,данные извлечь невозможно
4990,пол мужской,Санкт-Петербург,данные извлечь невозможно
5028,пол мужской,Омск,данные извлечь невозможно
5055,пол мужской,Санкт-Петербург,данные извлечь невозможно
5073,пол женский,Мурманск,данные извлечь невозможно
5081,пол мужской,Санкт-Петербург,данные извлечь невозможно
5095,пол женский,Санкт-Петербург,данные извлечь невозможно
5109,пол мужской,Санкт-Петербург,данные извлечь невозможно
5121,пол мужской,Санкт-Петербург,данные извлечь невозможно
5127,пол мужской,Санкт-Петербург,данные извлечь невозможно
5165,пол женский,Санкт-Петербург,данные извлечь невозможно
5198,пол женский,город не указан,данные извлечь невозможно
5213,пол мужской,Москва,1
5223,пол мужской,Москва,1
5224,пол мужской,Москва,данные извлечь невозможно
5227,пол мужской,Алматы,данные извлечь невозможно
5238,пол мужской,Санкт-Петербург,данные извлечь невозможно
5273,пол мужской,Санкт-Петербург,данные извлечь невозможно
5280,пол мужской,Москва,данные извлечь невозможно
5291,пол женский,город не указан,данные извлечь невозможно
5298,пол мужской,Санкт-Петербург,данные извлечь невозможно
5303,пол мужской,Москва,данные извлечь невозможно
5337,пол женский,Санкт-Петербург,данные извлечь невозможно
5354,пол мужской,Москва,4
5381,пол женский,Санкт-Петербург,данные извлечь невозможно
5385,пол женский,Москва,данные извлечь невозможно
5392,пол мужской,Санкт-Петербург,данные извлечь невозможно
5394,пол мужской,Саратов,данные извлечь невозможно
5399,пол женский,Санкт-Петербург,данные извлечь невозможно
5407,пол мужской,Санкт-Петербург,4
5419,пол мужской,Санкт-Петербург,данные извлечь невозможно
5420,пол женский,Berlin,данные извлечь невозможно
5422,пол женский,Старый Оскол,данные извлечь невозможно
