название,цена,код
Ноутбук Lenovo Legion 5 15IAH7H 15.6″/16/SSD 1024/серый,210990,120723
Ноутбук MSI GF63 Thin 11UD-254XRU 15.6″/8/SSD 256/черный,62990,120580
Ноутбук HP Victus 16-d1016nia 16.1″/16/SSD 1024/белый,115990,121634
Ноутбук HP Victus 15-fa0031dx 15.6″/8/SSD 512/темно-серый,66590,121633
Ноутбук HP Victus 16-d1013nia 16.1″/16/SSD 1024/белый,129990,121632
Ноутбук HP Victus 16-d1011nia 16.1″/16/SSD 1024/синий,129990,121631
Ноутбук HP Omen 17-ck1002nia 17.3″/16/SSD 1024/черный,189990,121630
Ноутбук Tecno Megabook T1 i3 15.6″/12/SSD 256/мятный,33990,119164
Ноутбук Samsung Galaxy book 15 15.6″/8/SSD 512/серебристый,74990,120206
Ноутбук Tecno Megabook T1 i5 15.6″/16/SSD 512/синий,42990,118905
Ноутбук Dell Latitude 5530 15.6″/32/SSD 512/серый,157990,119637
Ультрабук Huawei MateBook D 16 RLEF-W5651D 16.1″/16/SSD 512/серый,69990,119238
Ноутбук Asus TUF Dash F15 FX517ZC-HN044 15.6″/8/SSD 512/белый,89990,118426
Ноутбук Asus TUF Gaming FX507ZM-HN116 15.6″/16/SSD 1024/серый,149990,118424
Ноутбук MSI Stealth GS66 12UHS-267RU 15.6″/64/SSD 2048/черный,299990,115205
Ноутбук MSI CreatorPro M16 A12UIS-688RU 16″/16/SSD 1024/черный,138990,116622
Ноутбук MSI Raider GE77HX 12UHS-232RU 17.3″/32/SSD 2048/серый,277990,116609
Ноутбук HP 15s-fq5000ci 15.6″/16/SSD 512/серый,75990,118012
Ноутбук HP Victus 16-e1010ci 16.1″/16/SSD 512/синий,125990,118011
Ноутбук HP Envy 17t-ch100 17.3″/16/SSD 512/серебристый,139990,118503
Ультрабук HP Spectre x360 16-f1010ci 16″/32/SSD 2048/синий,249990,118853
Ноутбук HP Pavilion x360 14-ek0021ci 14″/16/SSD 512/серебристый,79990,118852
"2022 Apple MacBook Air 13.6″ серый космос (Apple M2, 16Gb, SSD 256Gb, M2 (8 GPU))",179990,118446
Ноутбук Lenovo ThinkPad T14 Gen 3 14″/16/SSD 512/LTE/черный,216990,117524
Ультрабук Lenovo ThinkPad X1 Carbon Gen 10 14″/16/SSD 512/LTE/черный,249990,117523
Ноутбук MSI CreatorPro Z17 A12UKST-259RU 17.3″/32/SSD 1024/серый,278990,116627
Ноутбук MSI Creator Z17 A12UHST-258RU 17.3″/64/SSD 2048/серый,325990,116626
Ноутбук MSI CreatorPro X17 A12UKS-206RU 17.3″/64/SSD 2048/черный,299990,116625
Ноутбук MSI CreatorPro X17 A12UMS-205RU 17.3″/64/SSD 2048/черный,359990,116624
Ноутбук MSI Prestige 15 A12UD-223RU 15.6″/16/SSD 1024/серебристый,135990,116602
Ноутбук HONOR MagicBook 15 15.6″/8/SSD 512/серебристый,64990,108750
"2022 Apple MacBook Pro 13.3″ серебристый (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114879
Ноутбук Asus ROG Strix G15 G513RC-HN056 15.6″/8/SSD 1024/серый,118990,116537
Ноутбук Asus ROG Zephyrus M16 GU603ZM-K8078W 16″/16/SSD 512/черный,174990,116640
Ультрабук Asus ExpertBook B5 B5402CEA-KI0253X 14″/8/SSD 512/черный,80990,116902
Ультрабук Asus ExpertBook B3 Flip B3402FEA-EC1050W 14″/8/SSD 512/черный,69990,116899
Ноутбук Asus TUF Gaming F17 FX706HEB-TF17 17.3″/8/SSD 512/серый,99990,116964
Ноутбук Lenovo IdeaPad 5 Pro 16IHU6 16″/16/SSD 1024/серый,106990,116510
Ноутбук MSI CreatorPro M15 A11UIS-1083RU 15.6″/16/SSD 1024/черный,112990,116522
Ноутбук Machenike T58-VA 15.6″/8/SSD 512/серебристый,59990,116885
Ультрабук Machenike Machcreator-A 15.6″/16/SSD 512/серебристый,61990,116884
Ультрабук Machenike Machcreator-A 15.6″/8/SSD 512/серебристый,40990,116882
Ноутбук Asus TUF Gaming A15 FA507RE-HN054 15.6″/8/SSD 512/серый,98990,115150
Ноутбук Asus ROG Zephyrus M16 GU603ZM-K8057X 16″/16/SSD 1024/черный,199990,115148
Ноутбук Asus ROG Zephyrus Duo 16 GX650RW-LO120X 16″/32/SSD 1024/черный,329990,115145
Ноутбук Asus ROG Flow Z13 GZ301ZE-LD219X 13.4″/16/SSD 1024/черный,339990,115139
Ноутбук Asus ROG Strix G15 G513RW-HQ198 15.6″/16/SSD 512/серый,185990,116287
Ноутбук Asus TUF Gaming A15 FA507RE-HN063 15.6″/16/SSD 512/серый,104990,116055
Ноутбук Asus ROG Zephyrus G15 GA503RW-HQ037W 15.6″/16/SSD 1024/серый,204990,116292
Ноутбук Asus VivoBook 15 X515JA-BQ2262 15.6″/16/SSD 512/серебристый,78990,116056
Ноутбук Lenovo Legion 5i 15ITH6H 15.6″/16/SSD 512/синий,129990,115576
Ноутбук MSI CreatorPro Z16P B12UKST-222RU 16″/32/SSD 1024/серый,249990,116020
Ноутбук MSI Raider GE67HX 12UHS-099RU 15.6″/32/SSD 2048/серый,289990,115207
Ноутбук MSI Creator Z16P B12UHST-028RU 16″/32/SSD 2048/серый,299790,109745
Ультрабук Huawei MateBook B3-520 15.6″/8/SSD 512/серый,65990,111169
Ноутбук Xiaomi RedmiBook Pro 14 14″/16/SSD 512/серый,90990,115961
Ноутбук Xiaomi RedmiBook Pro 15 15.6″/16/SSD 512/серый,100990,116016
Ноутбук Asus VivoBook Pro 15 OLED K3500PC-L1086 15.6″/16/SSD 512/синий,104990,114889
Ноутбук Asus ROG Zephyrus G15 GA503RM-HQ079X 15.6″/16/SSD 1024/серый,175990,115147
"2022 Apple MacBook Air 13.6″ серый космос (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114585
"2022 Apple MacBook Air 13.6″ серебристый (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114600
"2022 Apple MacBook Pro 13.3″ серый космос (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114617
"2022 Apple MacBook Air 13.6″ сияющая звезда (Apple M2, 8Gb, SSD 512Gb, M2 (10 GPU))",149990,114869
"2022 Apple MacBook Air 13.6″ серебристый (Apple M2, 8Gb, SSD 256Gb, M2 (8 GPU))",114990,114868
Ноутбук Dream Machines RT3070-17KZ29 17.3″/16/SSD 1024/черный,169990,114968
Ноутбук Dream Machines RS3070-15KZ26 15.6″/16/SSD 1024/черный,159990,114967
Ноутбук Dream Machines RG3050Ti-17KZ26 17.3″/16/SSD 1024/черный,99990,114964
Ноутбук Dream Machines RG3050Ti-17KZ21 17.3″/16/SSD 1024/черный,97990,114962
Ноутбук Dream Machines G1650-17KZ72 17.3″/8/SSD 512/черный,65990,114961
Ультрабук Asus ZenBook 14 UM3402YA-KM082W 14″/8/SSD 512/черный,85990,114196
"2021 Apple MacBook Pro 16.2″ серый космос (Apple M1 Pro, 16Gb, SSD 1024Gb, M1 (16 GPU))",249990,114281
Ноутбук Maibenben X558 15.6″/16/SSD 512/серый,84490,114891
Ноутбук Asus VivoBook S14 S433EA-AM464 14″/8/SSD 512/черный,55990,113975
Ультрабук Asus ExpertBook P1 P1512CEA-BQ0620 15.6″/16/SSD 1024/серый,79990,113862
Ноутбук Asus ROG Strix G15 G513RM-HQ168 15.6″/16/SSD 1024/серый,150990,114571
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 15.6″/8/SSD 512/черный,79990,113707
Ноутбук MSI Delta 15 A5EFK-062X 15.6″/16/SSD 1024/черный,139990,113893
"2021 Apple MacBook Pro 16.2″ серый космос (Apple M1 Pro, 16Gb, SSD 512Gb, M1 (16 GPU))",199990,113990
Ноутбук Asus Laptop 15 X515EP-BQ232 15.6″/12/SSD 512/серый,69990,113071
Ноутбук Asus VivoBook Pro 14 OLED M3401QA-KM106W 14″/16/SSD 1024/синий,109990,113060
Ноутбук Lenovo ThinkBook 16p G2 ACH 16″/16/SSD 1024/серый,149990,113521
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 15.6″/8/SSD 512/черный,88990,108039
Ноутбук HP Omen 16-b0033ur 16.1″/16/SSD 1024/черный,129990,111847
Ноутбук HP Pavilion x360 14-dy0011ur 14″/16/SSD 512/серебристый,82990,111678
Ноутбук HP Pavilion x360 14-dy0008ur 14″/8/SSD 512/синий,50990,111576
Ноутбук HP Victus 16-e0092ur 16.1″/16/SSD 512/синий,69990,111225
Ультрабук HP Envy 13-ba1006ur 13.3″/8/SSD 512/серебристый,75990,111108
Ноутбук Asus ROG Strix G15 G513RM-HQ164W 15.6″/16/SSD 1024/серый,169990,109544
Ноутбук MSI Creator M16 A12UD-208RU 16″/16/SSD 1024/черный,135990,109742
Ноутбук HP 17-cp0004ur 17.3″/8/SSD 512/серебристый,75990,113896
Ноутбук MSI Stealth GS66 12UGS-211RU 15.6″/32/SSD 2048/черный,259990,109807
Ноутбук MSI Raider GE76 12UGS-439RU 17.3″/32/SSD 2048/синий,299990,109796
Ноутбук MSI Pulse GL66 12UGK-257RU 15.6″/8/SSD 1024/серый,159990,109783
Ноутбук MSI Pulse GL66 12UEK-289XRU 15.6″/8/SSD 512/серый,85990,109790
Ноутбук Asus ProArt StudioBook 16 W7600H3A-L2030W 16″/32/SSD 1024/черный,249990,109175
Ноутбук Lenovo Legion 5i 15IMH6 15.6″/8/SSD 512/черный,79990,116035
Ноутбук HP Pavilion 14-dv0090ur 14″/8/SSD 512/белый,54990,109702
"2021 Apple MacBook Pro 16.2″ серебристый (Apple M1 Max, 32Gb, SSD 1024Gb, M1 (32 GPU))",349990,107504
Ноутбук Asus Laptop 15 X515JF-BR240 15.6″/4/SSD 256/серебристый,31990,108111
Ноутбук HP Envy x360 15-eu0033ur 15.6″/16/SSD 512/черный,80990,106882
"2021 Apple MacBook Pro 16.2″ серый космос (Apple M1 Max, 32Gb, SSD 1024Gb, M1 (32 GPU))",349990,107505
Ноутбук Dell Inspiron 5505 15.6″/8/SSD 512/серебристый,60990,107194
Ноутбук HP Pavilion 15-eg0100ur 15.6″/8/SSD 512/синий,49990,105299
Ноутбук HP Victus 16-e0073ur 16.1″/16/SSD 512/темно-серый,99990,111798
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 15.6″/8/SSD 512/черный,79990,113376
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 15.6″/16/SSD 512/черный,89990,113705
Ноутбук MSI Titan GT77 12UHS 17.3″/64/SSD 3096/черный,381990,115192
Ноутбук Asus VivoBook Pro 14 OLED K3400PA-KM017W 14″/8/SSD 512/синий,69990,111962
Ноутбук HP Pavilion 15-eg0125ur 15.6″/8/SSD 512/серебристый,54990,106862
Ноутбук MSI Vector GP76 12UGS-454RU 17.3″/16/SSD 1024/черный,199990,109812
Ноутбук HP Omen 17-ck0043ur 17.3″/32/SSD 1024/черный,199990,112996
Ноутбук Asus VivoBook 15 OLED K513EA-L12768W 15.6″/8/SSD 512/золотой,56990,112604
Ноутбук Xiaomi RedmiBook 15 X43260 15.6″/8/SSD 256/серый,34990,117096
Ультрабук Huawei MateBook D 15 BoD-WFH9 15.6″/16/SSD 512/серебристый,54990,119214
Ноутбук MSI Stealth GS77 12UHS-030RU 17.3″/64/SSD 2048/черный,299990,115195
Ноутбук Lenovo Legion 5 Pro 16IAH7H 16″/16/SSD 1024/белый,188990,120724
